,text,sentiment
217,feeling smooth like chrome,positive
218,ew traffic,negative
219,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral
220,at_ra_ra_ your not alone...i need coffee too.,neutral
221, sounds like me,neutral
222,bad day  the day you realize what mess you`ve put me through will be one of the happiest days of my life...,neutral
223,walking to class. i hate not having a bike....especially mine.,negative
224,_nesmith,neutral
225,"failed inspection. did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? this is worse than taxes.",negative
226,"jonas brothers - live to party.                it`s rocking so hard     i love the song,",positive
227,happy mother`s day to all the mothers in the world.,positive
228,"35mins through the 1hr 20mins google wave demo, that looks a lot of fun, would love to test it though.  ://bit.ly/wnmsc",positive
229,sleepy tabz is heading to bed.  fun night! listened through the next episode of joss`d!,positive
230,the exception for a short dude: larenz fineass tate yum,neutral
231,"screw the reviews, i thought wolverine was awesome. but not enough dominic monaghan for my liking.",positive
232,"if you followed us recently, please dont be offended that we haven`t followed back. we hit our limit.   hopefully we will be free soon.",positive
233, yes i work 6 to 3...,neutral
234," hmmm, maybe that`s what they meant. they eluded to something brand new but you know how the media is",neutral
235,done at the spa   now meeting vic for some late lunch!,neutral
236,happy monday  up and about going to tavares today. hope everyone has a blessed day!,positive
237, always have wanted to go to oz,neutral
238, thx,neutral
239, ://twitpic.com/4jaz5 - cool... luv it,positive
240,  that`s why i need to be there...to represent the blackberries,positive
241,okay so i`m dedicating my 300th tweet to the fact that i`m going to the apple store because there is a huge crack on the glass screen!,neutral
242, if only we could ever actually be allowed to stay here and do that,neutral
243, let me know how that turns out!!,neutral
244, was that sass i detect?  as long as it isn`t back sass! haha,neutral
245," yeah i was thinking about that ,ahaha",positive
246, sports bar shatranjanpoli rest ph 26498457 all sports bar andheri w 26733333 dont know whether that helps. google ki jai ho,neutral
247,i`m not sleeping at all until  accepts my appology,negative
248,"wolverine was boss! seriously, and will.i.am was in it, what the **** ??",negative
249," i live for pain, bring it on",neutral
250,"okay, i`m out for a while  back later!",neutral
251,  #powerblog what is this powerblog challenge you keep talking about?  i`m a newbie follower,neutral
252,almost died. laptop screen was set to 100% brightness after i reinstalled windows vista. got a headache now  #insanedefaults,positive
253,waiting for tish to get off. got to drive my moms crv to pick her up all my myself and duckie. first time,neutral
254,"trying to decide on a movie with the friends.. not going to well! lol :p  no bible study 2nite, which means ****-day cake  buy my own??",negative
255,going to shower because i don`t want to smell at school tomorrow,neutral
256, sigh... you know i am...,neutral
257,"discovered cause of a bug in the new #netplayer 4 build. publishing bug fix now, hopefully new beta by tomorrow",positive
258,here are 4 free twitter tools will get you followers  ://short.to/511q ://jijr.com/hulz ://short.to/511r ://2ve.org/xpg0/,neutral
259,just got home from work.... and is chugging down a big bottle of apple juice.,neutral
260, yes it does. please dont` go. if you die i will cry.. which normally leads to small animals getting harmed,negative
261,writing report cards  soooo tired but what an amazing day. check it out on fb soon!,positive
262, it was only once for my big brother...and i`m done now,neutral
263,good news: finally finished my #easactive workout that has been paused for 6 hours. bad news: my resistance band is torn,neutral
264,"well good morning all, what a wonderful day in the neighborhood  thanks for all those that are now following another 60 this morning",positive
265,ftsk and mercy mercedes were amazing tonight.. as always,positive
266,  hope he is ok!,positive
267,can`t school just be done already? it hurts too much... seeing him every day,positive
268,"i waited, listening to wind blowing through the tumbleweed? are none of you old enough to know what to do when someone says 'crackerack'?",neutral
269, hell yeah!,neutral
270, him shirt at dinner? do you need to ask??  does it actually have ville on it?,neutral
271, i know!!,neutral
272, huh what the ****? smelly? noooo. i love alex vixon,neutral
273,"went to a party last night. dindin and i showed up in matching outfits ) great minds think alike ) anyway, happy birthday, ate lara",positive
274," happy b-day! just woke up on this side of earth, so wishes are bit late",positive
275,"thank you for teaching me values and to be a better person each day  i love so much, you`re the best mum in the world",positive
276,happy mothers day.!,positive
277," *laughs* i`m glad that you have self confidence - it`s a wonderful trait to have  i`ll applaud extra loud for it, okay?",positive
278,  thanks,positive
279,twittering after 2 days!,neutral
280,getting ready for week  its too nice today to be stuck inside working!,positive
281,i am tres depressed,negative
282,"felt like ****, behaved like my son; ate to compensate. pigged out on home-roasted sugar almonds. painful tum, threw up, still feel sick.",negative
283,happy mothers day people. i love my mom a lot still,positive
284, i`m sorry to hear that.,negative
285," that`s awesome dude, yay for surprise celebrities!  i got to meet him a few years ago, he was soooo friendly.",positive
286," it makes me happy to hear a girl talk, or tweet, about the nba. but... could you give my nuggets some love?!",positive
287,is getting the hang of twitter.,neutral
288,you know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative
289,i want it back now!: ://bit.ly/pp1wz,neutral
290,going to miss my roomie ... we will no longer be roomies starting tomorrow,negative
291,"bathing with two little angels, keyla and janice.",neutral
292," yep, finished, chocked full of spelling and grammatical errors, but i`m cleaning it up tomorrow and popping it up  hehe",negative
293, hahahha lol true that! i always remember my bd but i can never remember what date or even day it is,neutral
294,"family is here,hanging with them",neutral
295,watching ellen love her!! then doing the dishes  and tanning ...it`s gorgeous out!,positive
296, what`s goin on hun?  i`m worried about you,negative
297, im not bannished... but i am at work till 6,negative
298," morning! if i get to see it, i`ll let you know. right now, i`m going to go see wolverine.",neutral
299," red top tabloids, build em up, knock em down",neutral
300,tonight in party w/ my girls (minus vita),positive
301,  why not now you made me sad i thought you`d be jumping for joy,neutral
302, simple my a#at,neutral
303,"the pics i just uploaded are the baby pics of my cats. missy is now an adult and a pretty little kitty, but batty is in kitten heaven now",neutral
304," i saw the play of it here, it was amazing",positive
305, _ i am glad to break my twitter virginity with you two.,positive
306,dinner with the fam... i have missed them,negative
307,"_live that`s what i want. more the better. bound to be a few bad eggs though, but they will soon learn.",neutral
308,hell yeah kellynn got a twitter. finally.,neutral
309," i know   it was worth a shot, though!",positive
310,"just opened a facebook account, i`m a little confused i don`t really get it. twitter seems much better",positive
311,ship. i`m stuck.,negative
312,dustbin baby on at 11.30 cannot wait  x,positive
313," not going to dwell on it. it happened, it`s passed. just a shame as he was so supportive! such is life!  x",negative
315,it looks like the office tv does get mlb network... and it looks like mlbn will not be televising the det/bal game today  #wieters,neutral
316,home empty handed.  no comics found today.  i shall now indulge in my cupcakes from magnolia bakery.,neutral
317,laying in bed til workkk... oh the life. definitely pinched a nerve.,negative
318,today is a busy day. exhausting!,negative
319," i was going to go on sunday, but now i`ve got too much going on that weekend",neutral
320, sorry to hear ur flight got cancelled  that blows!!!,negative
321,ohh my tooth is hurts ohh  im sad it very hurts,negative
322,"before i get too distracted, i`d like to thank my new followers for taking the trouble to follow me! and to my others: feelin the love",positive
323, u think u have bills ha!ii just finished paying mine that`s y i`m broke,negative
324, not sure it didn`t say it was 2 big. i jst saw the pics of u on ur last bday. you looked so pretty!! i miss you!!,neutral
325,sore throat. planning the tet outing to marwell though...good times,neutral
326,mcfly gig last nightt omg it was amazin didnt sit down through the whole thing  mcfly did you see me and ma best mate we were in tutus,positive
327,2 days without sleep and now a migraine. i thought life postr01 was meant to be relaxing,negative
328, there!,neutral
329,?sucks!?..,negative
330, whens the sway sway winner announced?,neutral
331, k will check it out...,neutral
332," doing pretty well, up and wide awake",positive
333,"i want to wake up early, and get a coffee tomorrow (today) !  it`s going to be a busyy day! but have to keep writing.. booo whoo!",neutral
334,i miss daddy and mommy,negative
335,"my dog is officially depressed that my brother`s dogs are gone. he doesn`t want to go outside and when we did, he play half-heartedly.",negative
336,i just realized that i can`t forward text msgs with my iphone.,neutral
337,"my frist post... off to find a new car for my parents, exciting!",positive
338,argh noo! missed the killers on wossy!  that sucks! missed out on brandon. total failure! anyone know if it`s repeated? must investigate!,negative
339,seriously bored without anyone to talk to... but not tired enough for sleep,negative
340, i am lost. please help me find a good home.,negative
341,"it`s a peter & gordon morning  -> and i, go to pieces and i wanna hide / go to pieces and i almost die / ever... ? ://blip.fm/~5yk38",neutral
342,ok so i`ve now got a bit of a bad back after lifting all drum hardware into my car   downer.,negative
343, lmao... smh!  that one threw me off.,neutral
344, oh nice going!,positive
345,is getting ready for work... working all weekend,neutral
346,gonna celebrate mothers day with the family but gonna start the partying tonite,positive
347, i agree with you!,positive
348, i only do computers. am hopeless at everything else,negative
349,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",positive
350,_2nd aww thanks!,positive
351, sorry rb is on ps3 for me,negative
352,i saw amazing heeels. but they were too big,neutral
353,i just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative
354,dang last url went down  ? ://blip.fm/~7aigm,negative
355," ohoh i missed all ur tweets  im gonna have to stay awake all night to see the announcement now, **** time difference",negative
356, damnit all. that sucks.  you were one of the ones i thought i`d drag back lol,negative
357, my boss. she`s moving to nyc,neutral
358,this is sooo crazy i have fever..,negative
359,is spending her saturday morning taking notes for a research essay because some stupid **** recalled the book i`m using. not fair,negative
360,i think i need some new friends,neutral
361, looking forward to your gig in ireland!!!  see ya there!,neutral
362,please review sunehre ad placement  ://tinyurl.com/oow6mk,positive
363,aww  you loooove me,positive
364,"is hungry, twitter.  i want food. </3",neutral
365,awesome lucky you,positive
366," yea, i should know.. but tell me everything!  ps: send me direct messages telling..   haha",neutral
367," haha im jewish, i love that one",positive
368,"had a great time out in the beer garden wit the boyos !! i think the sun got to me a bit though, feel a bit ill !!",neutral
369, l`m on 3 days too matt. no fun this weekend.,negative
370, u really don`t think so?  maybe ur right....lol. btw what phone u using? think u told me b4...i might have an app for u,neutral
371, i feel your pain. mine is the same way,negative
372,comes home in two days,neutral
373, sadly no. it didn`t come with one...,negative
374,cant wait to see my boy tomorrow,positive
375, ehhh no. just a check up. i have a dentist app next week though. getting my molar pulled/root canal.,neutral
376, aww i miss driving down elmwood,negative
377,omg wango tango was **** awsome! i love my baby for taking me,positive
378,"version 2 of our live, interactive trans-siberian ticket planner is launched: ://tinyurl.com/c5ljwm - its very cool",positive
379,_30439 i really wish i could go!,positive
380," yeah real hard, but i know you`ll get by with it... smile",neutral
381, i`m 25 in december that`s not good at all next big birthday is 30  after 21 it flys by for sure,negative
382,  this has made my night!!  way too funny!!,positive
383,woo cavs.  happy mother`s day!,positive
384, i make that same face when i get home and your mom is watching soaps.,neutral
385,i have to go to work now.,neutral
386, i can`t believe you went and got boba without me.,neutral
387,"  and to you too, how are you today?",neutral
388, thanks for the warm welcome! we didn`t make plans   because our arrival time was so up in the air.,positive
389,19 days and counting,neutral
390, sorry  friends - i`m swamped with deadlines right now and we have family visiting to boot! no charades for me.,negative
391,brainfreeze,neutral
392,just discovered a shortcoming of gravity. when you use twitpic (integrated) it doesn`t subtract the pic url from the 140 character limit,neutral
393,"my sunburn is peeling,",negative
394,perky purple nail polish isn`t as perky when its chipped,neutral
395,"://twitpic.com/4sx96 - before they put a camera in the smokers pit.  i can no longer vandalize that door, without being caught.",neutral
396,laying alone!! since mook`s soo comfy in his f`n play pen. i thought it was ill at first now i don`t have no one to cuddle with...,negative
397,i hate the dentist,negative
398," nothing aimed at you, just joining in...sorry",negative
399,i`m taking a twitter break. cell is dying,negative
400, qood morninq,neutral
401,writing my english original writing storyyyyy. and listening to `a little respect` by erasure  aaaaaah.,neutral
402,needs more followers,neutral
403,i wish i could get my nails done  stupid job,negative
404,the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww  ://twitpic.com/67aim,neutral
405, the 'no pants' idea could be the new attempt world-wide to attract business back to the airlines.,neutral
406, have a good one,positive
407," yep infact she is popular, miss india 99, talented film actress .... and lot more",positive
408,dosen`t want to go to work tomorrow,negative
409,daniel has won dsds. his voice is great.,positive
410,[-o] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. ://tinyurl.com/p6lfch,neutral
411,was hoping to go to red lobster this weekend,neutral
412,_x_atl u mean jack barakat`s?! wow so have u ever gone to his house? hehe i mean ur ssoo lucky to have the address!,positive
413,i sure do hope it becomes 4:20 this afternoon ...,positive
414, it means that you are now famous. congrats!,positive
415,my phone passed away yesterday.. he jumped off the table  searching for a new phone...,negative
416,"i have such fantastic friends, including several ones met through here! thanks for being in my life - you are such amazing people!",positive
417,tamlyn wishes she was as cool as my sock draw,positive
418, so no rice or crusty bread with the chili .... aawww,neutral
419,"  we are of like minds this evening , my dear!",neutral
420,come and save me from my packing please?!,neutral
421,"yes, i love tea. if that makes me typically english then so be it",positive
422, a mouth for sure,positive
423,_dec0de i finally just have 1 hour of history... at 3.00 pm! but i went to my highschool at 8.00 am to make some homework with a friend,neutral
424, pancakes!! with lemon and sugar thanks!,positive
425," si, no bueno  i guess i just don`t entertain him :/",negative
426,i`m so hunrgy right now and these heels kill me i can hardly walk in them,negative
427,both electronic keys stopped working. there is no keyhole! cant get in my car. so much for technology,negative
428," yay, three followers! good to know more than one person in this big wide world likes fishies.",positive
429,'my name is tony!!!!!! ...not hey!!!!' -  poor tony,negative
430,goodmorning,positive
431,took a shift tomorrow.    i don`t really feel like working right now.,negative
432," i love mine, too . happy motherï¿½s day to your mom , john taylor  . much love to you, too .",positive
433,saw a black snake in the garden.  went back for a picture and it was gone,neutral
434,://twitpic.com/4wukt - we bought ludi her own rug. dogs are the best,positive
435,no waterfront anymore   faccia luna and clarendon will have to do,negative
436,loves her mum very much! happy mothers day to all the wonderful mothers out there,positive
437,slipped up and caught the flu  feeling like poop!,negative
438,"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47days til mcfly, im so excited  (l)",positive
439,ok ... the passengers ... no one is alive ... they`re all dead ... you just don`t know it til the end ... then you cry ...,negative
440,discovered  and  are sharing on g reader with me and didn`t even know it. sigh.... i`m such a g reader newb.,neutral
441,"is chilled out tonite, so cannot spew venom or write funny. seems like these are the only 2 styles she has",neutral
442," if u do, please pray 4 me.  lord knows i need it.",neutral
443,aaaaaw i want to live in the usa,neutral
444,morning tweeple,positive
445," hey, i didn`t get any !!!",neutral
446, now you only have 2 hours to sleep...  - rest if you need it.,positive
447,"  that makes my day so much better, it`s been a rough one. did i mention i love the new photo!",neutral
448,i don`t want to sit at home on prom night. someone hang out with me,negative
449,is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,positive
450,concert tonight  chackin out and not coming tomorrow!,neutral
451, what happened? i thought you were coming back today....,neutral
452, lol dammit  well then next time then,negative
453, lol. just don`t ever forget me,positive
454, still jealous,negative
455,://twitpic.com/67qv3 - me at forever 21  ethan couldn`t be there,negative
456,now im sad but im not giving in first..i didnt do nothing!!!!    :**-(,negative
457,this week of mine was not easy!  but finally it`s over! (:,negative
458,   wow what a beautiful picture... and by the way....i am straight....just wanted to let you know!!!     bella,positive
459,in arch. drawing. checking out mvcc`s cad degree. looks good to me,positive
460," 'there are people and then there are pencils' some are sharp, some are not and some can be sharpened  my pencil philosophy.....",neutral
